,latitude,longitude,address
81248,30.993594,121.348984,30.993594-121.348984
81485,31.18158,121.295188,31.18158-121.295188
81578,31.087108,121.371206,31.087108-121.371206
81695,31.036007,121.46539,31.036007-121.46539
81866,31.02877,121.456878,31.02877-121.456878
81875,31.016211,121.412788,31.016211-121.412788
81939,31.103957,121.456645,31.103957-121.456645
82294,31.143351,121.352765,31.143351-121.352765
82312,31.038799,121.216584,31.038799-121.216584
82403,31.030606,121.225475,31.030606-121.225475
82446,31.07252,121.404373,31.07252-121.404373
82611,31.106732,121.290566,31.106732-121.290566
82631,31.09201,121.395696,31.09201-121.395696
83036,31.112899,121.367429,31.112899-121.367429
83067,31.111986,121.38521,31.111986-121.38521
83563,31.156811,121.236841,31.156811-121.236841
84417,30.750457,121.376839,30.750457-121.376839
84439,30.770905,121.407376,30.770905-121.407376
85552,31.332214,121.21858,31.332214-121.21858
87300,31.283777,121.379482,31.283777-121.379482
87789,31.280003,121.361419,31.280003-121.361419
87793,31.379546,121.260455,31.379546-121.260455
87939,31.262993,121.08814,31.262993-121.08814
88785,31.343386,121.208271,31.343386-121.208271
88953,31.365012,121.504701,31.365012-121.504701
88956,31.415037,121.260851,31.415037-121.260851
89150,31.391154,121.246483,31.391154-121.246483
89156,31.310425,121.439368,31.310425-121.439368
89209,31.262004,121.350318,31.262004-121.350318
90283,31.475425,121.356951,31.475425-121.356951
90465,31.277632,121.380997,31.277632-121.380997
90467,31.50595,121.282812,31.50595-121.282812
90634,31.463063,121.345403,31.463063-121.345403
90914,31.447176,121.385936,31.447176-121.385936
91165,31.497375,121.324955,31.497375-121.324955
91296,31.4189,121.295725,31.4189-121.295725
91524,31.462643,121.331794,31.462643-121.331794
91589,31.364338,121.251014,31.364338-121.251014
91677,31.333313,121.333805,31.333313-121.333805
91681,31.389487,121.259676,31.389487-121.259676
92402,31.284348,121.564303,31.284348-121.564303
92667,30.779826,121.376806,30.779826-121.376806
92718,31.239763,121.540092,31.239763-121.540092
